"","Richness","Species","Site","Year","Forest.type","N.Sus","Presence"
"128",71,"Quercus ilex","BOL1",2005,"Boreal forest",12,0
"129",71,"Quercus petraea","BOL1",2005,"Boreal forest",12,0
"130",71,"Quercus pubescens","BOL1",2005,"Boreal forest",12,0
"131",71,"Quercus robur","BOL1",2005,"Boreal forest",12,0
"132",71,"Ranunculus lanuginosus","BOL1",2005,"Boreal forest",12,0
"133",71,"Ranunculus nemorosus","BOL1",2005,"Boreal forest",12,0
"134",71,"Rubia peregrina","BOL1",2005,"Boreal forest",12,0
"135",71,"Rubus caesius","BOL1",2005,"Boreal forest",12,0
"136",71,"Rubus hirtus","BOL1",2005,"Boreal forest",12,0
"137",71,"Rubus idaeus","BOL1",2005,"Boreal forest",12,1
"138",71,"Rubus saxatilis","BOL1",2005,"Boreal forest",12,0
"139",71,"Rubus ulmifolius","BOL1",2005,"Boreal forest",12,0
"140",71,"Ruscus aculeatus","BOL1",2005,"Boreal forest",12,0
"141",71,"Sambucus racemosa","BOL1",2005,"Boreal forest",12,0
"142",71,"Sanicula europaea","BOL1",2005,"Boreal forest",12,0
"143",71,"Senecio fuchsii","BOL1",2005,"Boreal forest",12,1
"144",71,"Serratula tinctoria","BOL1",2005,"Boreal forest",12,0
"145",71,"Smilax aspera","BOL1",2005,"Boreal forest",12,0
"146",71,"Solidago virgaurea","BOL1",2005,"Boreal forest",12,1
"147",71,"Sonchus oleraceus","BOL1",2005,"Boreal forest",12,0
"148",71,"Sorbus aucuparia","BOL1",2005,"Boreal forest",12,1
"149",71,"Sorbus domestica","BOL1",2005,"Boreal forest",12,0
"150",71,"Sorbus torminalis","BOL1",2005,"Boreal forest",12,0
"151",71,"Stachys officinalis","BOL1",2005,"Boreal forest",12,0
"152",71,"Stellaria media","BOL1",2005,"Boreal forest",12,0
"153",71,"Stellaria nemorum","BOL1",2005,"Boreal forest",12,0
"154",71,"Tamus communis","BOL1",2005,"Boreal forest",12,0
"155",71,"Teucrium siculum","BOL1",2005,"Boreal forest",12,0
"156",71,"Trifolium sp.","BOL1",2005,"Boreal forest",12,0
"157",71,"Vaccinium myrtillus","BOL1",2005,"Boreal forest",12,1
"158",71,"Vaccinium vitis idaea","BOL1",2005,"Boreal forest",12,0
"159",71,"Veronica montana","BOL1",2005,"Boreal forest",12,0
"160",71,"Veronica officinalis","BOL1",2005,"Boreal forest",12,1
"161",71,"Viburnum tinus","BOL1",2005,"Boreal forest",12,0
"162",71,"Vinca minor","BOL1",2005,"Boreal forest",12,0
"163",71,"Viola alba","BOL1",2005,"Boreal forest",12,0
"164",71,"Viola biflora","BOL1",2005,"Boreal forest",12,1
"165",71,"Viola reichenbachiana","BOL1",2005,"Boreal forest",12,1
"166",71,"Epipactis muelleri","BOL1",2005,"Boreal forest",12,0
"167",71,"Agrostis tenuis","BOL1",2005,"Boreal forest",12,1
"168",71,"Digitalis micrantha","BOL1",2005,"Boreal forest",12,0
"169",71,"Acer platanoides","BOL1",2005,"Boreal forest",12,0
"170",71,"Galium aparine","BOL1",2005,"Boreal forest",12,0
"171",71,"Epipactis helleborine","BOL1",2005,"Boreal forest",12,0
"172",71,"Polystichum setiferum","BOL1",2005,"Boreal forest",12,0
"173",71,"Cardamine heptaphylla","BOL1",2005,"Boreal forest",12,0
"174",71,"Lysimachia nemorum","BOL1",2005,"Boreal forest",12,0
"175",71,"Arisarum proboscideum","BOL1",2005,"Boreal forest",12,0
"176",71,"Veronica chamaedrys","BOL1",2005,"Boreal forest",12,0
"177",71,"Euphorbia corallioides","BOL1",2005,"Boreal forest",12,0
"178",71,"Hordelymus europaeus","BOL1",2005,"Boreal forest",12,0
"179",71,"Lamium album","BOL1",2005,"Boreal forest",12,0
"180",71,"Polygonatum multiflorum","BOL1",2005,"Boreal forest",12,0
"181",71,"Viola alba","BOL1",2005,"Boreal forest",12,0
"182",71,"Viola riviniana","BOL1",2005,"Boreal forest",12,0
"183",71,"Helleborus foetidus","BOL1",2005,"Boreal forest",12,0
"184",71,"Saxifraga rotundifolia","BOL1",2005,"Boreal forest",12,0
"185",71,"Cephalanthera rubra","BOL1",2005,"Boreal forest",12,0
"186",71,"Galium rotundifolium","BOL1",2005,"Boreal forest",12,0
"187",71,"Arum maculatum","BOL1",2005,"Boreal forest",12,0
"188",71,"Acer pseudoplatanus","BOL1",2005,"Boreal forest",12,0
"189",71,"Brachypodium pinnatum","BOL1",2005,"Boreal forest",12,0
"190",71,"Lathyrus niger","BOL1",2005,"Boreal forest",12,0
"191",71,"Pirus communis","BOL1",2005,"Boreal forest",12,0
"192",71,"Platanthera sp.","BOL1",2005,"Boreal forest",12,0
"193",71,"Holcus lanatus","BOL1",2005,"Boreal forest",12,0
"194",71,"Prunus sp.","BOL1",2005,"Boreal forest",12,0
"195",71,"Acer sp.","BOL1",2005,"Boreal forest",12,0
"196",71,"Hieracium sp.","BOL1",2005,"Boreal forest",12,0
"197",71,"Rosa sp.","BOL1",2005,"Boreal forest",12,0
"198",71,"Lilium bulbiferum","BOL1",2005,"Boreal forest",12,0
"199",71,"Erica arborea","BOL1",2005,"Boreal forest",12,0
"200",71,"Pirus sp.","BOL1",2005,"Boreal forest",12,0
"201",71,"Calluna vulgaris","BOL1",2005,"Boreal forest",12,1
"202",71,"Genista tinctoria","BOL1",2005,"Boreal forest",12,0
"203",71,"Hypericum montanum","BOL1",2005,"Boreal forest",12,0
"204",71,"Genista germanica","BOL1",2005,"Boreal forest",12,0
"205",71,"Alliaria petiolata","BOL1",2005,"Boreal forest",12,0
"206",71,"Crataegus monogyna","BOL1",2005,"Boreal forest",12,0
"207",71,"Euphorbia dulcis","BOL1",2005,"Boreal forest",12,0
"208",71,"Galium laevigatum","BOL1",2005,"Boreal forest",12,0
"209",71,"Ligustrum vulgare","BOL1",2005,"Boreal forest",12,0
"210",71,"Pulmonaria officinalis","BOL1",2005,"Boreal forest",12,0
"211",71,"Rosa arvensis","BOL1",2005,"Boreal forest",12,0
"212",71,"Stachys sylvatica","BOL1",2005,"Boreal forest",12,0
"213",71,"Viola hirta","BOL1",2005,"Boreal forest",12,0
"214",71,"Clematis vitalba","BOL1",2005,"Boreal forest",12,1
"215",71,"Primula vulgaris","BOL1",2005,"Boreal forest",12,0
"216",71,"Ranunculus auricomus","BOL1",2005,"Boreal forest",12,0
"217",71,"Rhamnus catharticus","BOL1",2005,"Boreal forest",12,0
"218",71,"Ulmus minor","BOL1",2005,"Boreal forest",12,0
"219",71,"Viburnum opulus","BOL1",2005,"Boreal forest",12,0
"220",71,"Carex pendula","BOL1",2005,"Boreal forest",12,0
"221",71,"Carex sylvatica","BOL1",2005,"Boreal forest",12,0
"222",71,"Fraxinus oxycarpa","BOL1",2005,"Boreal forest",12,0
"223",71,"Geum urbanum","BOL1",2005,"Boreal forest",12,0
"224",71,"Lamium orvala","BOL1",2005,"Boreal forest",12,0
"225",71,"Veratrum nigrum","BOL1",2005,"Boreal forest",12,0
"226",71,"Heracleum sphondylium","BOL1",2005,"Boreal forest",12,0
"227",71,"Melica nutans","BOL1",2005,"Boreal forest",12,0
"228",71,"Ornithogalum pyrenaicum","BOL1",2005,"Boreal forest",12,0
"229",71,"Asparagus tenuifolius","BOL1",2005,"Boreal forest",12,0
"230",71,"Ajuga reptans","BOL1",2005,"Boreal forest",12,0
"231",71,"Vincetoxicum hirundinaria","BOL1",2005,"Boreal forest",12,0
"232",71,"Hieracium racemosum","BOL1",2005,"Boreal forest",12,0
"233",71,"Loroglossum hircinum","BOL1",2005,"Boreal forest",12,0
"234",71,"Rhinanthus minor","BOL1",2005,"Boreal forest",12,0
"235",71,"Cornus mas","BOL1",2005,"Boreal forest",12,0
"236",71,"Holcus mollis","BOL1",2005,"Boreal forest",12,0
"237",71,"Quercus sp.","BOL1",2005,"Boreal forest",12,0
"238",71,"Hypericum perforatum","BOL1",2005,"Boreal forest",12,0
"239",71,"Oenanthe pimpinelloides","BOL1",2005,"Boreal forest",12,0
"240",71,"Pinus strobus","BOL1",2005,"Boreal forest",12,0
"241",71,"Pirus pyraster","BOL1",2005,"Boreal forest",12,0
"242",71,"Anemone nemorosa","BOL1",2005,"Boreal forest",12,0
"243",71,"Carex caryophyllea","BOL1",2005,"Boreal forest",12,0
"244",71,"Carex digitata","BOL1",2005,"Boreal forest",12,0
"245",71,"Festuca altissima","BOL1",2005,"Boreal forest",12,0
"246",71,"Fraxinus excelsior","BOL1",2005,"Boreal forest",12,0
"247",71,"Lonicera nigra","BOL1",2005,"Boreal forest",12,0
"248",71,"Luzula nivea","BOL1",2005,"Boreal forest",12,0
"249",71,"Luzula pilosa","BOL1",2005,"Boreal forest",12,1
"250",71,"Orchis latifolia","BOL1",2005,"Boreal forest",12,0
"251",71,"Polypodium vulgare","BOL1",2005,"Boreal forest",12,0
"252",71,"Pulsatilla montana","BOL1",2005,"Boreal forest",12,0
"253",71,"Saxifraga cuneifolia","BOL1",2005,"Boreal forest",12,0
"254",71,"Sorbus aria","BOL1",2005,"Boreal forest",12,0
"255",71,"Thalictrum aquilegifolium","BOL1",2005,"Boreal forest",12,0
"256",71,"Geranium phaeum","BOL1",2005,"Boreal forest",12,0
"257",71,"Veronica urticifolia","BOL1",2005,"Boreal forest",12,0
"258",71,"Melampyrum sylvaticum","BOL1",2005,"Boreal forest",12,0
"259",71,"Dryopteris affinis","BOL1",2005,"Boreal forest",12,0
"260",71,"Ranunculus montanus","BOL1",2005,"Boreal forest",12,1
"261",71,"Asplenium trichomanes","BOL1",2005,"Boreal forest",12,0
"262",71,"Laburnum alpinum","BOL1",2005,"Boreal forest",12,0
"263",71,"Coronilla emerus","BOL1",2005,"Boreal forest",12,0
"264",71,"Cytisus sessilifolius","BOL1",2005,"Boreal forest",12,0
"265",71,"Laburnum anagyroides","BOL1",2005,"Boreal forest",12,0
"266",71,"Lathyrus venetus","BOL1",2005,"Boreal forest",12,0
"267",71,"Platanthera bifolia","BOL1",2005,"Boreal forest",12,0
"268",71,"Potentilla micrantha","BOL1",2005,"Boreal forest",12,0
"269",71,"Silene italica","BOL1",2005,"Boreal forest",12,0
"270",71,"Ptilostemon strictus","BOL1",2005,"Boreal forest",12,0
"271",71,"Trifolium ochroleucum","BOL1",2005,"Boreal forest",12,0
"272",71,"Vicia sepium","BOL1",2005,"Boreal forest",12,0
"273",71,"Acer obtusatum","BOL1",2005,"Boreal forest",12,0
"274",71,"Buglossoides purpurocaerulea","BOL1",2005,"Boreal forest",12,0
"275",71,"Campanula trachelium","BOL1",2005,"Boreal forest",12,0
"276",71,"Hepatica nobilis","BOL1",2005,"Boreal forest",12,0
"277",71,"Melittis melissophyllum","BOL1",2005,"Boreal forest",12,0
"278",71,"Asparagus acutifolius","BOL1",2005,"Boreal forest",12,0
"279",71,"Asplenium onopteris","BOL1",2005,"Boreal forest",12,0
"280",71,"Symphytum tuberosum","BOL1",2005,"Boreal forest",12,0
"281",71,"Rosa sempervirens","BOL1",2005,"Boreal forest",12,0
"282",71,"Scutellaria columnae","BOL1",2005,"Boreal forest",12,0
"283",71,"Vitis vinifera","BOL1",2005,"Boreal forest",12,0
"284",71,"Carex distachya","BOL1",2005,"Boreal forest",12,0
"285",71,"Epilobium angustifolium","BOL1",2005,"Boreal forest",12,1
"286",71,"Epilobium montanum","BOL1",2005,"Boreal forest",12,0
"287",71,"Hieracium prenanthoides","BOL1",2005,"Boreal forest",12,0
"288",71,"Larix decidua","BOL1",2005,"Boreal forest",12,1
"289",71,"Orthilia secunda","BOL1",2005,"Boreal forest",12,0
"290",71,"Antennaria dioica","BOL1",2005,"Boreal forest",12,0
"291",71,"Sambucus nigra","BOL1",2005,"Boreal forest",12,0
"292",71,"Vaccinium vitis-idaea","BOL1",2005,"Boreal forest",12,1
"293",71,"Valeriana tripteris","BOL1",2005,"Boreal forest",12,0
"294",71,"Berberis vulgaris","BOL1",2005,"Boreal forest",12,0
"295",71,"Selaginella selaginoides","BOL1",2005,"Boreal forest",12,0
"296",71,"Galeopsis speciosa","BOL1",2005,"Boreal forest",12,0
"297",71,"Cardamine flexuosa","BOL1",2005,"Boreal forest",12,0
"298",71,"Urtica dioica","BOL1",2005,"Boreal forest",12,0
"299",71,"Ballota nigra","BOL1",2005,"Boreal forest",12,0
"300",71,"Viola alba","BOL1",2005,"Boreal forest",12,0
"301",71,"Robinia pseudoacacia","BOL1",2005,"Boreal forest",12,0
"302",71,"Platanthera chlorantha","BOL1",2005,"Boreal forest",12,0
"303",71,"Rubus sp.","BOL1",2005,"Boreal forest",12,0
"304",71,"Hypericum montanum","BOL1",2005,"Boreal forest",12,0
"305",71,"Genista pilosa","BOL1",2005,"Boreal forest",12,0
"306",71,"Cerastium sylvaticum","BOL1",2005,"Boreal forest",12,0
"307",71,"Colchicum autumnale","BOL1",2005,"Boreal forest",12,0
"308",71,"Arum italicum","BOL1",2005,"Boreal forest",12,0
"309",71,"Silene viridiflora","BOL1",2005,"Boreal forest",12,0
"310",71,"Luzula campestris","BOL1",2005,"Boreal forest",12,0
"311",71,"Sedum cepaea","BOL1",2005,"Boreal forest",12,0
"312",71,"Festuca rubra","BOL1",2005,"Boreal forest",12,1
"313",71,"Listera cordata","BOL1",2005,"Boreal forest",12,0
"314",71,"Arbutus unedo","BOL1",2005,"Boreal forest",12,0
"315",71,"Eurhynchium praelongum","BOL1",2005,"Boreal forest",12,0
"316",71,"Leucorchis albida","BOL1",2005,"Boreal forest",12,0
