Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2003,CAL1,12,82.33,14.31,1231.9,NA,NA,NA,NA,NA,89.69,259.8,19.5,42,42,31.33,30,0.92,10.68,6.88,Nemoral beech forest
2003,CAM1,12,91.83,12.86,543.9,NA,NA,NA,NA,NA,91.87,118.5,18.1,30,29,22,33,2.33,29.32,6.89,Nemoral beech forest
2003,EMI1,12,72.92,14.84,359.7,NA,NA,NA,NA,NA,122.89,103.4,22.78,50,38,45.17,26,31.67,24.66,9.27,Nemoral oak forest
2003,FRI1,12,87.08,13.79,662.5,NA,NA,NA,NA,NA,71.75,253.1,21.38,56,13,23.23,57,15.83,21.1,8.66,Nemoral oak forest
2003,LAZ1,12,60.83,15.6,452.6,5.106,0.016,2.771,0.454,0.02,85.22,92.2,22.24,43,43,30,49,18.75,32.6,8.05,Nemoral oak forest
2003,LOM1,11,53.64,2.34,875.8,NA,NA,NA,NA,NA,61.27,464.1,8.43,25,17,21.5,58,10.82,17.81,7.59,Boreal forest
2003,MAR1,12,81.25,14.56,677.7,NA,NA,NA,NA,NA,70.03,183.8,21.58,26,26,15.83,59,45.83,29.04,8.29,Nemoral oak forest
2003,TOS1,12,80.42,15.85,635.6,NA,NA,NA,NA,NA,96.79,161.5,22.34,32,32,22,27,37.5,32.33,7.88,Mediterranean forest
2003,VAL1,12,60.42,4.23,819.7,NA,NA,NA,NA,NA,52.48,341.5,10.69,24,11,24.35,31,1.08,22.74,7.77,Boreal forest
2003,VEN1,12,83.33,9.51,1013,NA,NA,NA,NA,NA,76.34,472.9,16.75,56,12,18.17,37,0,26.3,8.41,Nemoral beech forest
2004,ABR1,12,90.33,11.43,1224.4,7.492,0.025,1.046,0.342,0.01,50.2,420,15.85,39,25,5.33,21,3.17,32.24,6.41,Nemoral beech forest
2004,CAL1,12,85,13.92,1590.5,NA,NA,NA,NA,NA,90.2,423.7,17.84,42,37,12.5,32,1.25,9.02,5.69,Nemoral beech forest
2004,CAM1,12,78.17,12.58,685.3,NA,NA,NA,NA,NA,45.06,209.4,16.22,27,26,11.67,39,1.92,23.5,5.77,Nemoral beech forest
2004,EMI1,12,67.92,13.73,629.1,NA,NA,NA,NA,NA,54.3,158.4,20.33,31,27,37.83,31,19.58,9.02,8,Nemoral oak forest
2004,FRI1,12,86.33,12.95,927,NA,NA,NA,NA,NA,45.13,363.3,19,21,19,3,61,20.5,6.28,7.56,Nemoral oak forest
2004,LAZ1,12,90,13.51,1011,5.687,0.054,2.473,0.313,0.01,67.22,272.5,18.41,40,40,16.52,48,34.17,17.21,6.84,Nemoral oak forest
2004,LOM1,11,60,1.94,1017.2,NA,NA,NA,NA,NA,53.25,502,5.94,18,10,9.5,54,11.18,11.75,5.89,Boreal forest
2004,MAR1,12,70.42,13.5,1064.2,NA,NA,NA,NA,NA,43.48,367,18.45,21,21,7.17,58,57.92,12.57,6.81,Nemoral oak forest
2004,TOS1,12,69.58,15.02,756.1,NA,NA,NA,NA,NA,69.01,159.3,19.58,39,39,13.33,28,27.92,14.48,6.46,Mediterranean forest
2004,VAL1,12,60.83,3.43,1002.7,NA,NA,NA,NA,NA,70.01,417.9,7.9,16,16,10.33,32,1.25,13.11,6.17,Boreal forest
2004,VEN1,12,87.5,8.75,1259.2,NA,NA,NA,NA,NA,44.45,563.2,14.58,23,8,8.55,38,0,13.66,7.37,Nemoral beech forest
2005,ABR1,12,90.75,11.74,1253.9,6.894,0.018,1.05,0.244,0.163,69.53,272.5,17.26,46,46,14.67,21,3.17,26.3,7,Nemoral beech forest
